"Replicate.Name","Area.Value","Mz.Value","RT.Value","SN.Value","Alignment.ID","Average.Rt.min.","Metabolite.name","Adduct.type","MS.MS.assigned","Reference.RT","Reference.m.z","Comment","RT.similarity","S.N.average","Spectrum.reference.file.name"
"190912_Blk_HBlk1_A.0.3",1101599,247.171,3.442,69.05016,"2306","4.087","FA 16:4","[M-H]-","FALSE","4.1","247.1698","Better now","100","319.27","190912_Smp_HS8C3D5_0-3"
"190912_Blk_HBlk1_A.0.3",440750,249.186,4.787,2.628046,"2346","4.729","FA 16:3","[M-H]-","FALSE","4.7","249.18546","G; think good but there is low intensity so looks poor?","99.9","74.14","190912_Smp_HS8C3D75_0-3"
"190912_Blk_HBlk1_A.0.3",317318,251.202,5.606,19.446,"2378","5.591","FA 16:2","[M-H]-","FALSE","5.6","251.20111","G;","100","381.39","190912_Smp_HU12_C_0-3"
"190912_Blk_HBlk1_A.0.3",6812498,253.217,6.697,471.7678,"2417","6.55","FA 16:1_Std","[M-H]-","FALSE","6.6","253.21675","G;","100","3923.57","190912_Smp_HU12_C_0-3"
"190912_Blk_HBlk1_A.0.3",144332208,255.233,7.959,2229.89,"2465","7.926","FA 16:0_Std","[M-H]-","FALSE","7.9","255.23241","G;","100","1675.04","190912_Smp_HU12_A_0-3"
"190912_Blk_HBlk1_A.0.3",1424199,267.233,7.385,55.29058,"2737","7.53","FA 17:1","[M-H]-","FALSE","7.4","267.23239","ok","100","282.91","190912_Smp_HU12_C_0-3"
"190912_Blk_HBlk1_A.0.3",5982731,269.249,8.966,145.4165,"2793","8.9","FA 17:0","[M-H]-","FALSE","8.9","269.24805","G;","99.9","273.86","190912_Smp_HU12_C_0-3"
"190912_Blk_HBlk1_A.0.3",1009512,275.202,5.318,82.05528,"3014","5.296","FA 18:4","[M-H]-","FALSE","5.3","275.20111","G;","100","1338.39","190912_Smp_HS4C27D40_C-0-3"
"190912_Blk_HBlk1_A.0.3",1126216,277.217,6.081,79.49701,"3076","6.06","FA 18:3_Std","[M-H]-","FALSE","6.3","277.21677","G;","98.9","489.33","190912_Std_FA-StdsInMatrix_2"
"190912_Blk_HBlk1_A.0.3",6850744,279.233,6.989,218.181,"3130","6.958","FA 18:2_Std","[M-H]-","FALSE","7","279.23239","G;","100","1524.52","190912_Std_FA-StdsInSolvent_2"
"190912_Blk_HBlk1_A.0.3",34193912,281.249,8.263,1092.996,"3200","8.226","FA 18:1 cis-6_Std","[M-H]-","FALSE","8.2","281.24805","G;","99.9","2534.32","190912_Smp_HU12_C_0-3"
